id,host_is_superhost,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,weekly_price,monthly_price,cleaning_fee,guests_included,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
4258515,f,98107,Apartment,Private room,4,1,1,4,,,$15.00 ,2,77,8,8,9,9,9,8
1148517,f,98107,House,Entire home/apt,4,1,2,2,,,$45.00 ,4,97,9,9,10,10,10,9
2487892,f,98107,House,Private room,2,1,1,1,,,,1,94,10,9,10,10,10,10
3038772,f,98107,House,Private room,2,1,1,1,,,$25.00 ,1,94,9,10,10,10,10,10
699460,t,98107,House,Private room,4,1,1,2,,"$2,000.00 ",$30.00 ,2,97,10,10,10,10,10,10
4085439,f,98107,House,Private room,2,1,1,1,,,,1,92,10,10,10,10,10,8
8053990,f,98107,House,Private room,2,1,1,1,,,$45.00 ,1,94,10,10,10,10,10,10
7011773,f,98107,House,Private room,1,1,1,1,,,,1,,,,,,,
2467550,f,98107,House,Entire home/apt,4,1,0,2,$250.00 ,$800.00 ,$50.00 ,2,,,,,,,
2686374,f,98107,House,Entire home/apt,6,1,3,4,"$1,300.00 ","$3,950.00 ",,4,95,9,10,10,10,10,9
1956274,t,98107,Apartment,Entire home/apt,2,1.5,1,1,$900.00 ,"$3,750.00 ",$75.00 ,0,100,10,10,10,10,10,10
8537192,f,98107,House,Private room,2,0.5,1,1,,,,1,,,,,,,
5919096,t,98107,Apartment,Entire home/apt,4,1,1,3,$903.00 ,,$75.00 ,1,100,10,10,10,10,10,10
6516529,f,98107,Apartment,Entire home/apt,2,1,1,1,$650.00 ,"$2,000.00 ",,1,,,,,,,
3294243,t,98107,Apartment,Entire home/apt,4,2,2,2,$950.00 ,,,1,93,10,10,10,10,10,9
10210971,f,98107,Townhouse,Private room,1,1,1,1,,,$10.00 ,1,,,,,,,
3584790,f,98117,Apartment,Entire home/apt,6,1,2,3,$599.00 ,,,4,,,,,,,
1266459,f,98107,Apartment,Entire home/apt,2,1.5,1,1,,,$60.00 ,2,98,10,10,10,10,9,9
9098059,f,98107,Bungalow,Entire home/apt,4,1,1,3,,,,1,,,,,,,
408526,f,98107,House,Entire home/apt,7,4,3,3,"$1,221.00 ","$4,200.00 ",$300.00 ,4,,,,,,,
4118282,f,98117,House,Entire home/apt,5,1.5,2,2,,,$75.00 ,1,95,10,10,10,10,9,9
6813483,f,98107,Apartment,Entire home/apt,2,1,1,1,$945.00 ,"$3,970.00 ",$95.00 ,2,98,9,10,10,10,10,9
6590264,f,98107,Apartment,Entire home/apt,4,1,1,2,$750.00 ,,$50.00 ,2,96,10,10,10,10,9,10
2650482,f,98107,Apartment,Entire home/apt,4,2,2,2,,,$75.00 ,1,98,10,10,10,10,10,9
20927,t,98107,Cabin,Entire home/apt,2,1,1,1,$549.00 ,,$10.00 ,2,97,10,9,10,10,10,10
4395578,f,98107,House,Entire home/apt,8,2.5,3,5,,,$264.00 ,1,100,10,10,10,10,8,10
4995903,f,98107,House,Entire home/apt,1,1,0,1,$250.00 ,$850.00 ,,1,,,,,,,
5549211,t,98107,Apartment,Entire home/apt,4,1,1,2,$910.00 ,"$3,402.00 ",$100.00 ,1,98,10,10,10,10,10,10
8240758,f,98107,Apartment,Entire home/apt,2,1,1,1,$500.00 ,,$100.00 ,1,80,9,10,10,10,10,9
6856295,f,98107,House,Private room,2,1,1,1,$555.00 ,"$1,850.00 ",,2,97,10,10,10,10,10,10
6881188,f,98107,House,Entire home/apt,6,2.5,3,4,"$1,800.00 ",,$100.00 ,1,96,10,10,10,10,10,9
1579615,t,98107,House,Entire home/apt,3,1,1,2,$590.00 ,"$1,795.00 ",$45.00 ,2,98,10,10,10,10,10,10
3766866,t,98107,Condominium,Entire home/apt,2,1,1,1,$900.00 ,"$2,250.00 ",$45.00 ,2,97,10,10,10,10,10,9
2406966,t,98107,Apartment,Entire home/apt,5,1,2,4,$903.00 ,,$75.00 ,1,100,10,10,10,10,10,10
